carrot;33 mg;0 ug;0.3 mg;0.1 ug;0.24 mg;835 ug ;0.058 mg;0.983 mg;0 ug;0 ug
potato;30 mg;0 ug ;3.24 mg;0.3 ug;0.35 mg;0 ug;0.038 mg;1.033 mg;0 ug;0 ug
cucumber;14 mg;0 ug ;0.22 mg;0.1 ug;0.17 mg;4 ug ;0.025 mg;0.037 mg;0 ug;0 ug
arugula;160 mg;0 ug;1.46 mg;0.3 ug;0.47 mg;119 ug ;0.086 mg;0.305 mg;0 ug;0 ug
quinoa;47 mg;0 ug;4.57 mg;8.5 ug;3.1 mg;1 ug ;0.318 mg;1.52 mg;0 ug;0 ug
almonds;269 mg;0 ug ;3.71 mg;4.1 ug;3.12 mg;0 ug;1.138 mg;3.618 mg;0 ug;0 ug
white rice;10 mg;0 ug;1.2 mg;7.5 ug;0.49 mg;0 ug;0.013 mg;1.467 mg;0 ug;0 ug
tomato;10 mg;0 ug;0.27 mg;0 ug;0.17 mg;42 ug ;0.019 mg;0.594 mg;0 ug;0 ug
parsley;138 mg;0 ug;6.2 mg;0.1 ug;1.07 mg;421 ug ;0.098 mg;1.313 mg;0 ug;0 ug
barley;29 mg;0 ug;2.5 mg;37.7 ug;2.13 mg;1 ug ;0.114 mg;4.604 mg;0 ug;0 ug
raddish;25 mg;0 ug;0.34 mg;0.6 ug;0.28 mg;0 ug;0.039 mg;0.254 mg;0 ug;0 ug
peas;25 mg;0 ug;1.47 mg;1.8 ug;1.24 mg;38 ug;0.132 mg;2.09 mg;0 ug;0 ug
cornmeal;2 mg;0  ug;0.52 mg;0.6 ug;0.46 mg;9 ug;0.055 mg;1.77 mg;0 ug;0 ug
ground pork;18 mg;0 ug;1.08 mg;34.8 ug;2.51 mg;0 ug;0.326 mg;5.844  mg;0.72 ug;0.7 ug
ground beef;68 mg;0 ug;2.45 mg;16.8 ug;3.8 mg;8 ug;0.195 mg;4.286 mg;1.75 ug;0.1 ug
bacon;9 mg;0 ug;3.14 mg;26.8 ug;6.37 mg;0 ug;0.26 mg;6.47 mg;1.45 ug;0.2 ug
ground lamb;48 mg;0 ug;1.36 mg;16.8 ug;2.77 mg;32 ug;0.206 mg;3.177 mg;1.3 ug;0.5 ug
chicken breast;16 mg;0 ug;0.99 mg;24.5 ug;1.18 mg;47 ug;0.114 mg;11.69 mg;0.33 ug;0.3 ug
duck;18 mg;0 ug;2.94 mg;19.8 ug;2.3 mg;25 ug;0.517 mg;5.369 mg;0.33 ug;0.2 ug
onion;23 mg;0 ug;0.21 mg;0.5 ug;0.17 mg;0 ug;0.027mg;0.116 mg;0 ug;0 ug
garlic;181 mg;0 ug;1.7 mg;14.2 ug;1.16 mg;0 ug;0.11 mg;0.7 mg;0 ug;0 ug 
ginger;16 mg;0 ug;0.6 mg;0.7 ug;0.34 mg;0  ug;0.034 mg;0.75 mg;0 ug;0 ug 
cauliflower;22 mg;0 ug;0.42 mg;0.6 ug;0.27 mg;0 ug;0.06 mg;0.507 mg;0 ug;0 ug
kale;254 mg;0 ug;1.6 mg;0.9 ug;0.39 mg;241 ug;0.347 mg;1.18 mg;0 ug;0 ug
green cabbage;40 mg;0 ug;0.47  mg;0.3 ug;0.18 mg; 5 ug;0.04 mg;0.234 mg;0 ug;0 ug 
cabbage;105 mg;0 ug;0.8 mg;0.5 ug;0.19  mg;223 ug;0.07 mg;0.5 mg;0 ug;0 ug
spinach;99 mg;0 ug;2.71 mg;1  ug;0.53 mg;469 ug;0.189 mg;0.724 mg;0 ug;0 ug
red cabbage;45 mg;0 ug;0.8 mg;0.6 ug;0.22 mg;56 ug;0.069 mg;0.418 mg;0 ug;0 ug
broccoli;47 mg;0 ug;0.73 mg;2.5 ug;0.41 mg;31 ug;0.117 mg;0.629 mg;0 ug;0 ug
pine nuts;16 mg;0 ug;5.53 mg;0.7 ug;6.45 mg;1 ug ;0.227 mg;4.387 mg;0 ug;0 ug
celery;40 mg;0 ug;0.2 mg;0.4 ug;0.13 mg;22 ug;0.057 mg;0.32  mg;0  ug;0 ug
kidney beans;17 mg;0 ug;0.81 mg;0.6 ug;0.4 mg;0 ug;00.25 mg;2.92 mg;0ug;0  ug
soy beans;13 mg;0 ug;0.91 mg;0.6 ug;0.41 mg;1 ug ;0.124 mg;0.749  mg;0 ug;0 ug
black beans;123 mg;0 ug;5.02 mg;3.2 ug;3.65 mg;0 ug;0.193 mg;1.955 mg;0 ug;0 ug
