ingredients\nutrients pr 100 g;Calcium;Iron;Zinc;Selenium;Vitamin B2(riboflavin);Vitamin B3(niacin);Vitamin B12;Vitamin A;Vitamin D;Iodine
Carrot;33 mg;0.3 mg;0.24 mg;0.1 ug;0.058 mg;0.983 mg;0 ug;835 ug ;0 ug;0 ug
Potato;30 mg;3.24 mg;0.35 mg;0.3 ug;0.038 mg;1.033 mg;0 ug;0 ug;0 ug;0 ug 
Cucumber;14 mg;0.22 mg;0.17 mg;0.1 ug;0.025 mg;0.037 mg;0 ug;4 ug ;0 ug;0 ug 
Arugula (rucola);160 mg;1.46 mg;0.47 mg;0.3 ug;0.086 mg;0.305 mg;0 ug;119 ug ;0 ug;0 ug
Quinoa seeds;47 mg;4.57 mg;3.1 mg;8.5 ug;0.318 mg;1.52 mg;0 ug;1 ug ;0 ug;0 ug
Almonds;269 mg;3.71 mg;3.12 mg;4.1 ug;1.138 mg;3.618 mg;0 ug;0 ug;0 ug;0 ug 
White rice;10 mg;1.2 mg;0.49 mg;7.5 ug;0.013 mg;1.467 mg;0 ug;0 ug;0 ug;0 ug
Tomato;10 mg;0.27 mg;0.17 mg;0 ug;0.019 mg;0.594 mg;0 ug;42 ug ;0 ug;0 ug
Fresh Parsley;138 mg;6.2 mg;1.07 mg;0.1 ug;0.098 mg;1.313 mg;0 ug;421 ug ;0 ug;0 ug
Barley;29 mg;2.5 mg;2.13 mg;37.7 ug;0.114 mg;4.604 mg;0 ug;1 ug ;0 ug;0 ug
Raddish;25 mg;0.34 mg;0.28 mg;0.6 ug;0.039 mg;0.254 mg;0 ug;0 ug;0 ug;0 ug
Peas;25 mg;1.47 mg;1.24 mg;1.8 ug;0.132 mg;2.09 mg;0 ug;38 ug;0 ug;0 ug
Corn;2 mg;0.52 mg;0.46 mg;0.6 ug;0.055 mg;1.77 mg;0 ug;9 ug;0 ug;0  ug
Cooked porkchop;18 mg;1.08 mg;2.51 mg;34.8 ug;0.326 mg;5.844  mg;0.72 ug;0 ug;0.7 ug;0 ug
Cooked ground beef;68 mg;2.45 mg;3.8 mg;16.8 ug;0.195 mg;4.286 mg;1.75 ug;8 ug;0.1 ug;0 ug
Bacon;9 mg;3.14 mg;6.37 mg;26.8 ug;0.26 mg;6.47 mg;1.45 ug;0 ug;0.2 ug;0 ug
Cooked ground lamb ;48 mg;1.36 mg;2.77 mg;16.8 ug;0.206 mg;3.177 mg;1.3 ug;32 ug;0.5 ug;0 ug
Chicken breast;16 mg;0.99 mg;1.18 mg;24.5 ug;0.114 mg;11.69 mg;0.33 ug;47 ug;0.3 ug;0 ug
Duck;18 mg;2.94 mg;2.3 mg;19.8 ug;0.517 mg;5.369 mg;0.33 ug;25 ug;0.2 ug;0 ug
Onion;23 mg;0.21 mg;0.17 mg;0.5 ug;0.027mg;0.116 mg;0 ug;0 ug;0 ug;0 ug
Garlic;181 mg;1.7 mg;1.16 mg;14.2 ug;0.11 mg;0.7 mg;0 ug;0 ug;0 ug ;0 ug
Ginger;16 mg;0.6 mg;0.34 mg;0.7 ug;0.034 mg;0.75 mg;0 ug;0  ug;0 ug ;0 ug
Cauliflower;22 mg;0.42 mg;0.27 mg;0.6 ug;0.06 mg;0.507 mg;0 ug;0 ug;0 ug;0 ug
Kale;254 mg;1.6 mg;0.39 mg;0.9 ug;0.347 mg;1.18 mg;0 ug;241 ug;0 ug;0 ug
Green cabbage;40 mg;0.47  mg;0.18 mg;0.3 ug;0.04 mg;0.234 mg;0 ug; 5 ug;0 ug ;0 ug
Cabbage;105 mg;0.8 mg;0.19  mg;0.5 ug;0.07 mg;0.5 mg;0 ug;223 ug;0 ug;0 ug
Spinach;99 mg;2.71 mg;0.53 mg;1  ug;0.189 mg;0.724 mg;0 ug;469 ug;0 ug;0 ug
Red cabbage;45 mg;0.8 mg;0.22 mg;0.6 ug;0.069 mg;0.418 mg;0 ug;56 ug;0 ug;0 ug
