900 - 1500;900 - 1500;900 - 1500;900 - 1500;900 - 1500;900 - 1500;1200 - 1700;1200 - 1700;1200 - 1700;1200 - 1700
900 - 1500;900 - 1500;900 - 1500;900 - 1500;1200 - 1700;1200 - 1700;1200 - 1700;1200 - 1700;1200 - 1700;1200 - 1700
48 - 55;48 - 55;48 - 55;48 - 55;48 - 55;48 - 55;48 - 55;48 - 55;48 - 55;48 - 55
43 - 48;43 - 48;43 - 48;43 - 48;43 - 48;43 - 48;43 - 48;43 - 48;43 - 48;43 - 48
72 - 144;72 - 144;72 - 144;72 - 144;72 - 144;72 - 144;72 - 144;72 - 144;72 - 144;72 - 144
59 - 119;59 - 119;59 - 119;59 - 119;59 - 119;59 - 119;59 - 119;59 - 119;59 - 119;59 - 119
43 - 300;43 - 300;43 - 300;43 - 300;43 - 300;43 - 300;43 - 300;43 - 300;43 - 300;43 - 300
43 - 300;43 - 300;43 - 300;43 - 300;43 - 300;43 - 300;43 - 300;43 - 300;43 - 300;43 - 300
2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0
2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0;2.0 - 30.0
1.1 - 1.6;1.1 - 1.6;1.1 - 1.6;1.1 - 1.6;1.1 - 1.6;1.1 - 1.6;1.1 - 1.6;1.1 - 1.6;1.1 - 1.6;1.1 - 1.6
0.9 - 1.3;0.9 - 1.3;0.9 - 1.3;0.9 - 1.3;0.9 - 1.3;0.9 - 1.3;0.9 - 1.3;0.9 - 1.3;0.9 - 1.3;0.9 - 1.3
14.0 - 19.0;14.0 - 19.0;14.0 - 19.0;14.0 - 19.0;14.0 - 19.0;14.0 - 19.0;14.0 - 19.0;14.0 - 19.0;14.0 - 19.0;14.0 - 19.0
12.0 - 16.0;12.0 - 16.0;12.0 - 16.0;12.0 - 16.0;12.0 - 16.0;12.0 - 16.0;12.0 - 16.0;12.0 - 16.0;12.0 - 16.0;12.0 - 16.0
2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4
2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4;2.0 - 2.4
4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3
4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3;4.8 - 9.3
4.0 - 7.0;4.0 - 7.0;4.0 - 7.0;4.0 - 7.0;9.0 - 13.0;9.0 - 13.0;14.0 - 18.0;14.0 - 18.0;14.0 - 18.0;14.0 - 18.0
4.0 - 7.0;4.0 - 7.0;4.0 - 7.0;4.0 - 7.0;9.0 - 13.0;9.0 - 13.0;14.0 - 18.0;14.0 - 18.0;14.0 - 18.0;14.0 - 18.0
